pattern,original_bytes,tool,total_bytes,total_ratio_percent,payload_bits,payload_equivalent_bytes,payload_ratio_percent,metadata_bits,metadata_equivalent_bytes,roundtrip_verified,compressed_sha256,original_sha256,accounting_details
alternating-00-01,500000000,bzip2,16625,0.003325,132886,16610.75,0.00332215,114,14.25,True,022852494fee958cdde45065c9f3358fca9e3e380f9abfea3a57ccc674aab61b,de0ace36626ad954caed6c08de69f160ab4ca6e560847c227dce5b8550ca5133,"{""payload_definition"": ""compressed block stream between BZh header and EOS marker"", ""stream_header_bits"": 32, ""stream_trailer_and_padding_bits"": 82}"
alternating-00-01,500000000,lzma,70622,0.0141244,564872,70609,0.0141218,104,13,True,9d77330c19a0c4381748a0c96092f7467944e1f7ab7de629f92da7ccda3d82bf,de0ace36626ad954caed6c08de69f160ab4ca6e560847c227dce5b8550ca5133,"{""header_bytes"": 13, ""payload_definition"": ""LZMA Compressed Data field""}"
alternating-00-01,500000000,lz4,1962689,0.3925378,15697552,1962194,0.3924388,3960,495,True,d977378fc8f0d73d38c304300cfb3db1140fabef3ab43bfcf9cd82a415c1a817,de0ace36626ad954caed6c08de69f160ab4ca6e560847c227dce5b8550ca5133,"{""block_checksum_bytes"": 0, ""block_count"": 120, ""block_size_headers_and_endmark_bytes"": 484, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 7, ""payload_definition"": ""sum of LZ4 Data Block fields""}"
alternating-00-01,500000000,zstd,45732,0.0091464,274216,34277,0.0068554,91640,11455,True,5758382757b518324fe5e7f35870f6c5dc411d81464be7091c96714e651242dd,de0ace36626ad954caed6c08de69f160ab4ca6e560847c227dce5b8550ca5133,"{""block_count"": 3815, ""block_header_bytes"": 11445, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 6, ""payload_definition"": ""sum of stored Zstandard Block_Content fields""}"
alternating-00-01,1000000000,gzip,972125,0.0972125,7776856,972107,0.0972107,144,18,True,fb53b7fa8ff6ea8f741f46385d6e778b0996c0fc8a0a9f29c8a248a59d478557,18e0e353a81d1702d371797eb55ad836531a26c5fe4099f019b5e2b990c4d63f,"{""member_header_bytes"": 10, ""member_trailer_bytes"": 8, ""payload_definition"": ""raw DEFLATE stream""}"
alternating-00-01,1000000000,xz,150176,0.0150176,1189336,148667,0.0148667,12072,1509,True,fb0b96590c655f4f485128d0171f715d0df4a1e08e05bfce08ee0983512ad973,18e0e353a81d1702d371797eb55ad836531a26c5fe4099f019b5e2b990c4d63f,"{""block_checks_bytes"": 320, ""block_count"": 40, ""block_header_bytes"": 800, ""block_padding_bytes"": 117, ""index_bytes"": 248, ""payload_definition"": ""XZ Compressed Data field(s), normally LZMA2"", ""stream_header_footer_bytes"": 24}"
alternating-00-01,1000000000,bzip2,33235,0.0033235,265764,33220.5,0.00332205,116,14.5,True,5f91be01ddb2eb7130c7502b08352e97722f26c6dd8f653c369ae5285acbe1b3,18e0e353a81d1702d371797eb55ad836531a26c5fe4099f019b5e2b990c4d63f,"{""payload_definition"": ""compressed block stream between BZh header and EOS marker"", ""stream_header_bits"": 32, ""stream_trailer_and_padding_bits"": 84}"
alternating-00-01,1000000000,lzma,141153,0.0141153,1129120,141140,0.014114,104,13,True,c76f64f1b01bd161bb51b51f8b2c242c7c949d6444463d4db989cb44bf366ded,18e0e353a81d1702d371797eb55ad836531a26c5fe4099f019b5e2b990c4d63f,"{""header_bytes"": 13, ""payload_definition"": ""LZMA Compressed Data field""}"
alternating-00-01,1000000000,lz4,3925347,0.3925347,31395008,3924376,0.3924376,7768,971,True,4990561943d325737c5c1e2ae653795fab5236c604211b04b939db400b1990f7,18e0e353a81d1702d371797eb55ad836531a26c5fe4099f019b5e2b990c4d63f,"{""block_checksum_bytes"": 0, ""block_count"": 239, ""block_size_headers_and_endmark_bytes"": 960, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 7, ""payload_definition"": ""sum of LZ4 Data Block fields""}"
alternating-00-01,1000000000,zstd,91452,0.0091452,548416,68552,0.0068552,183200,22900,True,f2034beaf00978b6d6a4d24bfdddf73669fcb7087cc5b5ca7de57bca0517e1ac,18e0e353a81d1702d371797eb55ad836531a26c5fe4099f019b5e2b990c4d63f,"{""block_count"": 7630, ""block_header_bytes"": 22890, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 6, ""payload_definition"": ""sum of stored Zstandard Block_Content fields""}"
